Stadium (see notes),Team(s),MLB lifetime (years thru 2024),Seating capacity (at peak),1st deck Seating Rows,Mez. / 2nd deck Seating Rows,Upper deck Seating Rows,Lower deck Overhang,Upper deck Overhang,"Fair Territory (1,000 sq. ft.)","Foul Territory (1,000 sq. ft.)",LF Fence Height,CF Fence Height,RF Fence Height,CF Orientation,Backstop,Left field distance,Left-center distance,Center field distance,Right-center distance,Right field distance
Baker Bowl,Philadelphia Phillies,44,"18,800",22,-,10,60%,100%,96.7,28.6,12,35,60,ENE*,60,342,(380),408,(305),281
Forbes Field,Pittsburgh Pirates,62,"35,000 +",37,-,12+,55%,95%,123.9,24.2,12,12,10,E,75,365,(392),(435),(395),300
Shibe Park,Phil. Athletics & Phillies,61,"33,000 +",31,-,24,75%,100%,108.7,29.2,12,8,34,ENE,64,334,(360),447,(355),331
Sportsman's Park,St. L. Browns & Cardinals,57,"30,000 +",28,-,18,70%,95%,107.7,33.7,12,12,12*,ENE,67,351,379,420,(335),310
League Park,Cleveland Indians,37,"22,000",22+,-,16,75%,100%,111.2,29.6,5,35,45,SE,60,375,415,(420),(315),290
Comiskey Park,Chicago White Sox,80.5,"46,500 +",26,-,19,65%,98%,113.6,29.0,10,18,10,NE,86,352,382,415,382,352
Polo Grounds,"N.Y. Giants, (Yanks & Mets)",48.5,"56,000 +",34,-,20,80%,95%,129.4,36.1,17,9,11,ESE,65,[279],(458),483,(442),[258]
Griffith Stadium,Washington Senators,51,"29,000 +",26,-,13+,80%,95%,121.1,31.7,11,11,30,ESE*,61,405,391,421,(390),320
Crosley Field,Cincinnati Reds,58.5,"29,603 +",40,-,15,40%*,100%,107.5,31.3,18,23,10,ENE*,78,328,378,(384),360,366
Tiger Stadium,Detroit Tigers,88,"52,000 +",34,-,25,85%,80%,108.5,32.4,9,9,9,NNE,(60),340,(358),(425),(358),325
Fenway Park,Boston Red Sox (& Braves),113+,"37,499 +",45*,4*,10*,40%,60%,105.5,18.1,37,18,5,NE,54,310,(335),(390),(378),302
Ebbets Field,Brooklyn Dodgers,45,"32,000 +",26,-,18,60%,100%,99.1,22.7,10,10,38,NE,71,348,351,384,344,297
Wrigley Field,Chicago Cubs (& Whales),111+,"41,019 +",56,2,21,55%,100%,107.8,18.6,16,11,16,NE,55,355,(352),(395),368,353
Braves Field,Boston Braves,38,"44,500",57,2,-,85%,-,102.6,33.9,25,25,10,ENE*,60,337,355,390,(355),318
Yankee Stadium,New York Yankees %,86,"70,000 +",40,19,23,65%,100%,128.9,21.0,4,14,4,E,80,301,(440),(450),(380),296
Cleveland Stadium,Cleveland Indians,62,"74,000",51,2,36,75%,100%,111.3,30.9,6,6,6,NE,60,320,380,410,380,320
County Stadium,Milw. Braves & Brewers,48,"53,192 ' +",50,2,28,65%,80%,111.4,29.5,10,10,10,SE,60,315,377,402,377,315
Memorial Stadium,Baltimore Orioles ' ;,38,"54,706",46,7,33,60%,0%,108.1,29.7,14,7,14,N,58,309,376,405,376,309
Municipal Stadium,K.C. Athletics & Royals,17,"35,561 '",45,1,35,85%,75%,118.3,35.1,13*,22*,12*,NE,70,369,409,421,382,338
Memorial Coliseum,Los Angeles Dodgers,4,"93,000",79,-,-,0%,-,99.8,33.5,42,6,4,ENE,66,251,320,420,380,300
Seals Stadium,San Franciso Giants,2,"22,900",40,-,-,0%,-,108.5,22.7,15,31,16,SSE,55,365,375,410,360,335
Candlestick Park,San Franciso Giants,40,"62,000 +",44,2,29,40%,25%,106.1,34.1,9,9,9,N,66,335,365,410,365,328
Wrigley Field (L.A.),Los Angeles Angels,1,"20,457",32,-,18,70%,100%,99.7,22.3,14,14*,9,NNE,56,340,345,412,345,339
Metropolitan Stadium,Minnesota Twins,22,"45,919 ' +",40,17,13,45%,0%,113.0,32.4,12,8,8,SE,60,343,365,425,365,330
Dodger Stadium,L.A. Dodgers (& Angels),63+,"56,000",[40],20,(29),15%,30%,111.1,19.3,4,8,4,NNE,53,330,375,395,375,330
